PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Giannis Antetokounmpo,MIL,03/28/2019,MIL vs. LAC,W,32,34,10,18,55.6,2,6,33.3,12,14,85.7,0,9,9,5,1,1,1,3,1
James Harden,HOU,03/28/2019,HOU vs. DEN,W,32,38,10,22,45.5,5,11,45.5,13,14,92.9,2,4,6,6,1,1,4,2,14
Julius Randle,NOP,03/28/2019,NOP vs. SAC,W,31,34,12,25,48,3,5,60,7,7,100,4,7,11,3,0,0,3,3,10
Khris Middleton,MIL,03/28/2019,MIL vs. LAC,W,33,39,16,25,64,4,7,57.1,3,3,100,2,7,9,5,1,0,2,3,2
Devin Booker,PHX,03/27/2019,PHX vs. WAS,L,37,50,19,29,65.5,3,9,33.3,9,10,90,2,8,10,4,1,1,5,3,8
Paul George,OKC,03/27/2019,OKC vs. IND,W,39,31,12,25,48,4,13,30.8,3,3,100,0,4,4,1,1,0,2,2,17
DeMar DeRozan,SAS,03/26/2019,SAS @ CHA,L,40,30,12,23,52.2,0,1,0,6,8,75,2,6,8,4,0,0,1,2,-14
Kemba Walker,CHA,03/26/2019,CHA vs. SAS,W,42,38,14,31,45.2,2,8,25,8,11,72.7,1,8,9,11,0,1,2,1,8
Trae Young,ATL,03/26/2019,ATL @ NOP,W,31,33,12,24,50,5,13,38.5,4,5,80,0,1,1,12,1,0,1,1,10
Bradley Beal,WAS,03/26/2019,WAS @ LAL,L,37,32,10,19,52.6,2,7,28.6,10,13,76.9,0,5,5,2,0,1,2,2,-13
Jamal Murray,DEN,03/26/2019,DEN vs. DET,W,38,33,12,19,63.2,3,7,42.9,6,7,85.7,0,3,3,5,1,0,3,5,12
Paul George,OKC,03/25/2019,OKC @ MEM,L,39,30,10,29,34.5,5,15,33.3,5,6,83.3,2,10,12,3,1,0,2,3,-3
D'Angelo Russell,BKN,03/25/2019,BKN @ POR,L,42,39,16,34,47.1,3,14,21.4,4,8,50,2,7,9,8,1,0,6,1,-9
Devin Booker,PHX,03/25/2019,PHX @ UTA,L,41,59,19,34,55.9,5,8,62.5,16,17,94.1,1,3,4,4,1,0,6,5,-13
Jusuf Nurkic,POR,03/25/2019,POR vs. BKN,W,34,32,13,24,54.2,0,0,-0,6,8,75,4,12,16,5,2,4,1,4,10
Damian Lillard,POR,03/25/2019,POR vs. BKN,W,48,31,10,30,33.3,4,16,25,7,8,87.5,3,3,6,12,1,0,0,3,13
LaMarcus Aldridge,SAS,03/24/2019,SAS @ BOS,W,37,48,20,31,64.5,1,1,100,7,8,87.5,3,10,13,6,0,1,3,5,23
Bojan Bogdanovic,IND,03/24/2019,IND vs. DEN,W,26,35,13,16,81.3,5,6,83.3,4,4,100,0,6,6,3,1,0,0,0,17
Karl-Anthony Towns,MIN,03/23/2019,MIN @ MEM,W,33,33,12,20,60,4,7,57.1,5,5,100,4,19,23,3,1,1,5,5,12
Kemba Walker,CHA,03/23/2019,CHA vs. BOS,W,35,36,11,25,44,6,13,46.2,8,8,100,1,10,11,9,2,0,2,0,21
Devin Booker,PHX,03/23/2019,PHX @ SAC,L,39,32,10,27,37,2,11,18.2,10,10,100,0,2,2,10,2,0,3,0,-5
Trae Young,ATL,03/23/2019,ATL vs. PHI,W,33,32,11,20,55,4,9,44.4,6,7,85.7,2,4,6,11,0,1,6,4,22
Kyrie Irving,BOS,03/23/2019,BOS @ CHA,L,35,31,12,23,52.2,4,11,36.4,3,4,75,0,7,7,6,2,0,3,5,-10
Terrence Ross,ORL,03/22/2019,ORL vs. MEM,W,36,31,10,15,66.7,8,12,66.7,3,3,100,0,7,7,0,1,0,2,1,25
Kawhi Leonard,TOR,03/22/2019,TOR vs. OKC,L,36,37,12,23,52.2,4,5,80,9,10,90,2,4,6,4,2,0,8,5,12
JaVale McGee,LAL,03/22/2019,LAL vs. BKN,L,35,33,15,20,75,0,0,-0,3,7,42.9,12,8,20,0,1,6,3,5,-5
James Harden,HOU,03/22/2019,HOU vs. SAS,W,37,61,19,34,55.9,9,13,69.2,14,17,82.4,2,5,7,1,3,0,3,3,18
Kemba Walker,CHA,03/21/2019,CHA vs. MIN,W,35,31,10,22,45.5,1,8,12.5,10,12,83.3,1,4,5,6,0,0,5,2,6
Donovan Mitchell,UTA,03/21/2019,UTA @ ATL,L,36,34,15,32,46.9,2,6,33.3,2,3,66.7,3,1,4,2,1,2,3,2,0
Mike Conley,MEM,03/20/2019,MEM vs. HOU,W,42,35,12,23,52.2,6,9,66.7,5,5,100,0,5,5,8,0,0,1,2,3
Jonas Valanciunas,MEM,03/20/2019,MEM vs. HOU,W,36,33,10,19,52.6,0,2,0,13,17,76.5,9,6,15,1,0,0,5,2,5
Damian Lillard,POR,03/20/2019,POR vs. DAL,W,30,33,9,18,50,6,12,50,9,10,90,2,3,5,12,2,0,1,1,24
Lauri Markkanen,CHI,03/20/2019,CHI vs. WAS,W,38,32,12,21,57.1,5,8,62.5,3,3,100,4,9,13,5,0,1,1,2,12
Joel Embiid,PHI,03/20/2019,PHI vs. BOS,W,41,37,8,17,47.1,1,3,33.3,20,21,95.2,6,16,22,4,1,1,3,4,12
Donovan Mitchell,UTA,03/20/2019,UTA @ NYK,W,29,30,12,20,60,5,9,55.6,1,2,50,1,2,3,5,1,0,3,4,16
Kyrie Irving,BOS,03/20/2019,BOS @ PHI,L,36,36,12,29,41.4,3,13,23.1,9,11,81.8,2,7,9,4,0,1,3,2,-6
