Team1,T1_OR5,T1_DR5,Team2,T2_OR5,T2_DR5,Spread,TScore
CHI,107.96,123.92,PHX,106.34,110.82,15,217
CHI,109.56,119.78,SAC,106.48,109.78,-27,231
CHI,105.84,116.32,LAC,116.48,109.7,-7,249
CHI,107.58,115.62,LAL,108.12,119.14,-16,230
CHI,109.04,111.08,DET,117.2,106.62,-23,239
CHI,109.4,110.08,DET,118.8,108.54,-8,216
CHI,109.44,112.56,PHI,107.82,108.36,1,215
CHI,114.64,114.12,IND,116.52,117.04,-9,201
CHI,114.16,112.7,ATL,114.58,114.98,-5,241
CHI,115.56,112.72,ATL,111.14,113.12,7,329
CHI,113.04,112.88,MEM,106.2,110.46,2,216
CHI,115.2,114.28,MIL,105.62,103.32,-11,223
CHI,114.5,111.66,BOS,111.32,112.26,10,242
CHI,117.32,115.74,ORL,120.36,97.54,1,219
CHI,117.52,120.4,MEM,104.9,104.46,12,232
CHI,121.24,118.2,MIL,114.64,105.16,-13,211
CHI,118.34,114.9,WAS,115.84,117.58,-9,259
CHI,114.88,116.22,BKN,102.56,107.2,19,231
CHI,109.24,110.28,NOP,107.58,111.1,-5,245
CHI,104.14,107.6,CHA,106.54,110.12,-7,243
CHI,102.78,106.6,MIA,108.32,106.56,16,194
CHI,102.68,108.26,BKN,111.64,103.76,-5,239
CHI,103.74,114.78,CLE,100.14,116.9,-3,205
CHI,103.72,115.58,LAC,104.86,108.34,-5,207
CHI,104.32,113.16,ATL,113.4,119.06,-20,222
CHI,104.48,123.36,CLE,106.74,123.04,16,192
CHI,105.86,124.04,MIA,105.22,110.7,-14,220
CHI,104.82,120,DEN,112.46,114.78,-30,240
CHI,107.74,121.92,LAL,98.72,101.42,-7,207
CHI,105.6,124.48,UTA,109.26,99.92,-8,212
CHI,102.96,116.14,GSW,122.84,110.28,-37,255
CHI,102.26,111.6,POR,111.66,100.38,-12,236
CHI,100.38,111.5,BKN,109.62,112.8,-17,217
CHI,102.74,108.4,IND,117.2,102.04,-3,235
CHI,104.96,102.24,ORL,108.54,112.22,-28,196
CHI,106.22,102.88,TOR,105.02,111.22,-6,184
CHI,102.68,106.14,WAS,104.56,114.02,9,193
CHI,104.58,102.08,MIN,108.74,111.5,-25,213
CHI,98.86,102.08,CLE,105,118.8,20,204
CHI,95.98,105.5,ORL,91.82,107.38,10,170
CHI,92.36,113.16,BKN,122.26,114.62,-3,189
CHI,95.54,111.06,OKC,106.04,106.38,-25,217
CHI,92.82,110.04,SAS,118.66,101.74,5,191
CHI,93.86,113.3,ORL,100.72,104.26,-6,188
CHI,94.2,113.54,SAC,114.26,111.8,-19,197
CHI,99.98,107.98,BOS,120.9,106.08,-56,210
CHI,100.7,108.86,OKC,106.9,96.5,2,226
CHI,101.16,111.64,IND,106.2,102.36,-6,186
CHI,99.08,108,HOU,119.98,121.28,-16,226
CHI,104.78,108.46,DET,117.16,111.32,-19,195
CHI,98.28,108.32,MIL,116.14,107,-3,229
CHI,96.24,110.16,SAS,115.06,114,-1,215
CHI,93.34,109.52,MIN,103.8,100.7,-15,207
CHI,93.88,109.9,MIA,100.74,108.2,-7,199
CHI,90.66,107.8,PHX,105.04,110.82,8,240
CHI,94.02,105.78,TOR,109.74,109.86,-39,205
CHI,94.04,102.12,MIL,116,113.8,-19,227
CHI,96.08,100.38,BOS,106.82,110.22,-29,193
CHI,99.76,103.4,DAL,110.36,109.48,-5,201
CHI,100.12,104.58,CLE,102.98,112.38,1,197
CHI,104.72,112.66,NOP,106.96,115.64,-9,205
CHI,102.86,108.7,NYK,108.92,111.96,1,231
CHI,106.32,115.84,HOU,105.96,114.44,-8,184
CHI,107.56,115.98,IND,110.72,106.6,-2,212
CHI,108.6,117.84,DEN,111.02,103.22,-1,215
CHI,108.42,112.78,GSW,118.3,103.78,-25,273
CHI,110.64,120.48,ATL,107.22,104.1,12,182
CLE,106.4,122.3,CHA,108.06,115.18,-27,221
CLE,110.72,123.86,SAS,115.06,115.86,-22,202
CLE,109.78,123.06,GSW,117.56,97.92,-6,234
CLE,109.34,124.32,SAC,117.06,122.66,-13,221
CLE,108.32,121.6,PHX,105.86,119.42,-9,235
CLE,108.56,115.4,LAC,114.22,110.52,-24,240
CLE,112.98,116.04,SAS,110.34,109.52,-6,226
CLE,116.56,118.9,BOS,112,117.8,-10,222
CLE,114.56,118.74,MIL,111.62,102.18,-22,232
CLE,112.12,117.3,LAC,117.82,113.9,-2,218
CLE,114.28,116.16,MIL,112.58,105.86,5,209
CLE,111.36,118.2,DET,104.8,109.42,7,245
CLE,106.72,113.64,DAL,109.92,114.64,-5,237
CLE,110.66,108.28,ORL,102.22,109.92,-29,211
CLE,110.44,114.16,PHI,105.3,104.16,-7,205
CLE,112.18,119.42,TOR,111.84,106.34,25,227
CLE,110.68,117.68,MIA,115.16,108.58,-16,236
CLE,112.28,117.12,BKN,105.98,105.4,-6,220
CLE,111.74,117.34,ORL,110.56,106.1,14,200
CLE,114.6,114.14,DET,115.38,112.78,-36,222
CLE,110.06,110.22,NYK,111.34,109.1,7,243
CLE,107.38,108.2,POR,116.3,108.04,-13,233
CLE,105.58,109.68,MEM,103.74,110.16,5,219
CLE,104.24,112,PHX,102.18,118.82,13,209
CLE,102.42,111.68,BKN,103.94,113.14,-9,287
CLE,104.18,113.66,NYK,97.66,110.86,3,211
CLE,106.08,111.36,IND,110.64,97.38,-15,195
CLE,105.7,109.98,WAS,115.56,119.94,-13,225
CLE,105.66,112.42,BOS,117.94,106.04,-7,199
CLE,103.38,110.28,DAL,112.2,106.18,-13,209
CLE,102.82,115.16,WAS,107.3,107.48,3,229
CLE,100.14,116.9,CHI,103.74,114.78,3,205
CLE,103.96,123.06,MIA,101.08,111.04,-6,194
CLE,103.76,117.9,BOS,112.66,107.68,-20,226
CLE,106.74,123.04,CHI,104.48,123.36,-16,192
CLE,107.96,122.44,DEN,118.72,115.82,-22,226
CLE,113.48,125.56,UTA,108.98,97.7,-16,214
CLE,108.68,124.2,POR,117.56,109.14,-17,241
CLE,107.44,129.64,LAL,100.08,102.66,6,196
CLE,106.76,129,HOU,116.02,114.68,-28,254
CLE,105.18,124.54,NOP,121.1,109.58,-16,264
CLE,100.02,123.74,IND,117.6,109.38,-8,238
CLE,99.7,118.32,NOP,119.12,118.72,-35,231
CLE,100.54,118.56,UTA,111.66,105.98,-26,208
CLE,103.26,119.36,MIA,111.42,102.18,-25,209
CLE,102.28,120.82,ATL,109.86,106.74,-3,219
CLE,102.28,114.88,MIA,109.2,101.72,-24,212
CLE,105,120.88,MEM,103.72,108.7,-8,182
CLE,105,118.8,CHI,98.86,102.08,-20,204
CLE,104.44,113.48,TOR,111.28,105.6,-16,236
CLE,102.18,111.42,CHA,109.22,111.52,-11,209
CLE,108.1,114.96,IND,110.86,100.04,1,183
CLE,109.12,114.62,PHI,111.3,111.58,-23,233
CLE,111,118.98,MIL,102.46,99.26,-12,216
CLE,109.46,118.64,NYK,106.88,115.88,7,219
CLE,110.88,119.6,MIL,107.7,104.12,-16,200
CLE,104.96,123.3,WAS,104.6,107.02,15,217
CLE,99.64,117.6,SAC,110.42,113.76,-19,239
CLE,98.2,112.14,GSW,114.22,111.96,-24,234
CLE,102.58,114.5,BKN,102.94,111.44,2,196
CLE,108.6,116.02,TOR,123.48,113.56,-11,201
CLE,110.9,112.56,BOS,110.92,108.9,-33,223
CLE,115.72,115.98,OKC,106.58,100.32,-17,183
CLE,113.54,117.16,MIN,105.78,100.48,-7,197
CLE,111.16,112.3,HOU,121.2,111.2,9,225
CLE,105.34,108.84,PHI,110.02,108.36,9,233
CLE,101.02,105.28,LAL,109.8,104.4,-4,214
CLE,99.7,102.5,DET,105.46,103.56,-11,215
CLE,100.62,105.34,WAS,109.62,110.42,-24,214
CLE,98,111.7,CHA,114.08,105.2,24,202
CLE,102.98,112.38,CHI,100.12,104.58,-1,197
CLE,108.44,118.32,OKC,115.06,103.62,-9,181
CLE,109.28,119.74,ORL,103.2,115.22,-2,202
CLE,107.66,115.06,CHA,116.54,110.8,-32,220
CLE,108.36,115.44,DEN,109.52,106.54,-19,201
CLE,106.18,118.62,ATL,100.12,102.9,22,250
CLE,103.96,116.5,IND,112.32,103.18,-12,226
DAL,113.32,109.54,SAS,113.5,111.54,-11,199
DAL,112.32,109.78,PHX,113.44,122.58,11,229
DAL,108.26,107.06,MEM,105.48,114.98,2,256
DAL,111.6,109.54,MEM,103.86,112.98,-10,234
DAL,116.26,106.48,MIN,112.18,115.32,-2,218
DAL,113.64,110.62,PHI,115.24,115.16,20,224
DAL,114.48,113.82,OKC,109.14,112.28,3,209
DAL,116.44,115.3,MIA,107.76,111.46,-6,204
DAL,117,113.64,SAC,113.52,105.34,-4,246
DAL,112.5,116.46,GSW,111.66,100.9,35,217
DAL,114.2,116.6,SAC,112.44,111.82,-16,216
DAL,111.3,112.38,POR,116.38,107.68,-8,244
DAL,111.38,113.2,NOP,104.24,116.36,-4,254
DAL,109.92,114.64,CLE,106.72,113.64,5,237
DAL,105.24,117.08,DEN,114.04,110.48,-1,199
DAL,100.02,116.62,SAS,111.86,104.04,-7,217
DAL,103.12,118.1,HOU,116.52,106.9,-1,187
DAL,104.1,119.66,ORL,105.88,109.38,-5,217
DAL,101.06,118,WAS,110.36,111.46,-9,255
DAL,104.18,115.72,BKN,104.96,111.32,-39,215
DAL,107.92,115.94,MEM,105.54,109.8,-30,192
DAL,106.68,119.42,IND,112.64,108.3,9,211
DAL,104.46,115.38,LAC,110.18,108.74,-9,233
DAL,104.28,115.28,UTA,111.98,108.54,-16,234
